name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,23142.050390964378,23348.250999166936,23583.643800455022,23840.66469597338,24240.675169307982
gpac - 4x2 peers,23802.50130276185,24554.420366229115,24860.25965091605,25380.84938465522,25705.151412880063
gpac - 5x2 peers,25015.951013002723,25433.297791284083,25690.937897301177,26024.74376992929,26574.03004117613
gpac - 6x2 peers,25777.284518492765,26347.471112667903,26573.203753420046,26743.147140712867,27177.56487025948
gpac - 10x2 peers,23486.079415791875,24215.34910173631,24609.83255502119,24924.831329830846,25710.62365591398
gpac - 20x2 peers,23888.904909523462,25318.539636894322,25644.886024972082,27150.5240720183,29125.78075118674
raft - 3x1 peers,14308.374930671103,14458.166595248651,18186.698791151837,21738.18965782054,21864.76557669225
raft - 4x1 peers,13997.061169654478,14132.330110657495,14217.112732570109,14304.73784747411,14520.672303781708
raft - 5x1 peers,13941.254282128684,14107.734830406835,14263.69755007889,14930.898509249942,16113.569967864449
raft - 6x1 peers,13982.406140750874,14148.753073410608,14264.407317331075,14886.97960839264,15064.8669728746
raft - 10x1 peers,14805.466335373612,15307.515554770833,16321.88550527945,16929.790795661756,17319.769625641668
raft - 20x1 peers,16984.96783984968,17398.923445693377,17550.472521519292,17677.372670264744,17959.40026193379
2pc - 3x2 peers,31160.42780748663,31657.540393733943,32118.487182091158,35602.81572918164,35602.81572918164
2pc - 4x2 peers,30321.03977669225,30997.167507771424,32239.835694286936,45286.53897868566,46227.2586793036
2pc - 5x2 peers,30619.598428633784,31289.023596060633,31862.476331946615,35606.57910801323,37786.48495173197
2pc - 6x2 peers,30067.064606741573,31518.50483463986,32650.2295257581,34698.67507908287,36290.76834495553
2pc - 10x2 peers,31849.0970090656,34273.535066016695,35382.82212991809,36681.281338747634,40262.59158829978
2pc - 20x2 peers,27755.576341919703,29361.83033591676,30058.798592079344,30810.778245861755,32064.71314404522
